Date, Revenue , Order Count 
8/1/2014," 115,939 ", 18 
8/2/2014," 26,871 ", 10 
8/3/2014," 102,390 ", 15 
8/4/2014," 94,947 ", 17 
8/5/2014," 65,532 ", 13 
8/6/2014," 87,046 ", 18 
8/7/2014," 162,781 ", 19 
8/8/2014," 113,356 ", 17 
8/9/2014," 81,554 ", 14 
8/10/2014," 54,680 ", 14 
8/11/2014," 205,783 ", 32 
8/12/2014," 136,117 ", 20 
8/13/2014," 196,526 ", 25 
8/14/2014," 92,587 ", 22 
8/15/2014," 838,279 ", 17 
8/16/2014," 111,880 ", 16 
8/17/2014," 271,336 ", 15 
8/18/2014," 123,317 ", 25 
8/19/2014," 99,357 ", 23 
8/20/2014," 180,023 ", 26 
8/21/2014," 116,683 ", 21 
8/22/2014," 104,782 ", 12 
8/23/2014," 93,133 ", 13 
8/24/2014," 147,342 ", 19 
8/25/2014," 180,760 ", 29 
8/26/2014," 163,425 ", 20 
8/27/2014," 142,597 ", 28 
8/28/2014," 244,253 ", 28 
8/29/2014," 95,156 ", 19 
8/30/2014," 45,429 ", 13 
8/31/2014," 64,125 ", 12 
9/1/2014," 132,147 ", 22 
9/2/2014," 80,388 ", 16 
9/3/2014," 197,749 ", 26 
9/4/2014," 139,564 ", 29 
9/5/2014," 203,882 ", 31 
9/6/2014," 119,639 ", 17 
9/7/2014," 88,826 ", 16 
9/8/2014," 262,825 ", 19 
9/9/2014," 61,813 ", 15 
9/10/2014," 379,266 ", 28 
9/11/2014," 104,638 ", 20 
9/12/2014," 122,324 ", 17 
9/13/2014," 129,960 ", 12 
9/14/2014," 119,382 ", 15 
9/15/2014," 220,426 ", 34 
9/16/2014," 161,637 ", 28 
9/17/2014," 131,024 ", 26 
9/18/2014," 161,517 ", 23 
9/19/2014," 166,561 ", 22 
9/20/2014," 76,569 ", 16 
9/21/2014," 66,919 ", 11 
9/22/2014," 612,420 ", 25 
9/23/2014," 86,609 ", 20 
9/24/2014," 198,300 ", 33 
9/25/2014," 151,162 ", 26 
9/26/2014," 117,402 ", 20 
9/27/2014," 75,668 ", 11 
9/28/2014," 60,948 ", 11 
9/29/2014," 250,862 ", 35 
9/30/2014," 118,214 ", 25 
10/1/2014," 224,405 ", 39 
10/2/2014," 201,503 ", 29 
10/3/2014," 100,274 ", 16 
10/4/2014," 46,935 ", 13 
10/5/2014," 107,872 ", 17 
10/6/2014," 144,781 ", 19 
10/7/2014," 84,496 ", 14 
10/8/2014," 93,275 ", 20 
10/9/2014," 167,405 ", 23 
10/10/2014," 120,666 ", 18 
10/11/2014," 99,149 ", 20 
10/12/2014," 111,950 ", 20 
10/13/2014," 140,057 ", 20 
10/14/2014," 161,176 ", 24 
10/15/2014," 232,666 ", 33 
10/16/2014," 147,191 ", 21 
10/17/2014," 153,059 ", 22 
10/18/2014," 31,788 ", 10 
10/19/2014," 55,158 ", 14 
10/20/2014," 109,887 ", 27 
10/21/2014," 228,259 ", 27 
10/22/2014," 156,247 ", 25 
10/23/2014," 124,426 ", 27 
10/24/2014," 122,654 ", 24 
10/25/2014," 69,167 ", 15 
10/26/2014," 55,223 ", 14 
10/27/2014," 280,730 ", 21 
10/28/2014," 147,745 ", 28 
10/29/2014," 214,345 ", 30 
10/30/2014," 228,004 ", 31 
10/31/2014," 165,720 ", 24 
11/1/2014," 76,278 ", 14 
11/2/2014," 63,380 ", 15 
11/3/2014," 175,117 ", 35 
11/4/2014," 242,024 ", 34 
11/5/2014," 187,449 ", 33 
11/6/2014," 295,066 ", 36 
11/7/2014," 213,526 ", 26 
11/8/2014," 124,550 ", 24 
11/9/2014," 140,577 ", 23 
11/10/2014," 228,605 ", 37 
11/11/2014," 203,366 ", 32 
11/12/2014," 161,432 ", 29 
11/13/2014," 241,978 ", 35 
11/14/2014," 140,216 ", 27 
11/15/2014," 130,264 ", 17 
11/16/2014," 77,986 ", 17 
11/17/2014," 558,247 ", 45 
11/18/2014," 232,670 ", 41 
11/19/2014," 284,932 ", 42 
11/20/2014," 723,562 ", 42 
11/21/2014," 178,173 ", 29 
11/22/2014," 156,045 ", 25 
11/23/2014," 140,208 ", 29 
11/24/2014," 358,010 ", 45 
11/25/2014," 339,539 ", 40 
11/26/2014," 202,528 ", 40 
11/27/2014," 128,796 ", 20 
11/28/2014," 202,687 ", 40 
11/29/2014," 82,120 ", 19 
11/30/2014," 171,967 ", 28 
12/1/2014," 433,497 ", 81 
12/2/2014," 353,443 ", 61 
12/3/2014," 399,198 ", 49 
12/4/2014," 295,050 ", 53 
12/5/2014," 288,993 ", 50 
12/6/2014," 156,018 ", 30 
12/7/2014," 147,089 ", 30 
12/8/2014," 528,326 ", 52 
12/9/2014," 210,061 ", 48 
12/10/2014," 345,422 ", 66 
12/11/2014," 978,058 ", 53 
12/12/2014," 392,232 ", 45 
12/13/2014," 209,170 ", 33 
12/14/2014," 235,614 ", 48 
12/15/2014," 347,346 ", 62 
12/16/2014," 387,784 ", 67 
12/17/2014," 416,118 ", 58 
12/18/2014," 376,360 ", 63 
12/19/2014," 260,353 ", 51 
12/20/2014," 102,279 ", 31 
12/21/2014," 114,117 ", 30 
12/22/2014," 328,466 ", 52 
12/23/2014," 145,595 ", 25 
12/24/2014," 157,626 ", 24 
12/25/2014," 101,102 ", 14 
12/26/2014," 175,130 ", 25 
12/27/2014," 92,187 ", 13 
12/28/2014," 66,157 ", 17 
12/29/2014," 104,309 ", 22 
12/30/2014," 197,635 ", 35 
12/31/2014," 122,388 ", 24 
1/1/2015," 70,600 ", 12 
1/2/2015," 123,357 ", 21 
1/3/2015," 101,402 ", 24 
1/4/2015," 123,963 ", 19 
1/5/2015," 139,565 ", 22 
1/6/2015," 287,640 ", 30 
1/7/2015," 148,898 ", 28 
1/8/2015," 176,255 ", 28 
1/9/2015," 386,434 ", 29 
1/10/2015," 116,761 ", 22 
1/11/2015," 69,464 ", 18 
1/12/2015," 501,702 ", 28 
1/13/2015," 165,701 ", 31 
1/14/2015," 266,254 ", 28 
1/15/2015," 184,874 ", 26 
1/16/2015," 299,960 ", 32 
1/17/2015," 99,168 ", 16 
1/18/2015," 111,193 ", 19 
1/19/2015," 172,103 ", 33 
1/20/2015," 211,270 ", 24 
1/21/2015," 122,765 ", 26 
1/22/2015," 87,681 ", 24 
1/23/2015," 168,897 ", 23 
1/24/2015," 85,835 ", 17 
1/25/2015," 112,327 ", 24 
1/26/2015," 115,450 ", 26 
1/27/2015," 254,186 ", 31 
1/28/2015," 250,119 ", 36 
1/29/2015," 161,720 ", 27 
1/30/2015," 211,375 ", 31 
1/31/2015," 187,804 ", 26 
2/1/2015," 99,010 ", 19 
2/2/2015," 188,870 ", 36 
2/3/2015," 268,697 ", 41 
2/4/2015," 193,183 ", 25 
2/5/2015," 152,674 ", 32 
2/6/2015," 203,155 ", 40 
2/7/2015," 101,906 ", 19 
2/8/2015," 134,753 ", 41 
2/9/2015," 213,459 ", 46 
2/10/2015," 237,061 ", 45 
2/11/2015," 215,699 ", 46 
2/12/2015," 213,979 ", 41 
2/13/2015," 112,656 ", 28 
2/14/2015," 120,133 ", 24 
2/15/2015," 108,911 ", 18 
2/16/2015," 176,759 ", 30 
2/17/2015," 139,003 ", 16 
